0.6	18400	0.1
1	14500	0.15
2	10500	0.21
3	20195	0.31
5	28000	0.41
10	12000	0.92
20	7500	1.104
30	6500	1.198
40	5500	1.104
50	4500	1.031
60	4300	0.968
70	4100	0.912
80	3900	0.861
90	3700	0.813
100	3500	0.768
110	3488	0.753
120	3476	0.74
130	3416	0.727
140	3406	0.715
150	3398	0.704
160	3389	0.693
170	3332	0.683
180	3324	0.673
190	3268	0.664
200	3261	0.654
210	3255	0.65
220	3199	0.647
230	3194	0.644
240	3138	0.641
250	3133	0.638
260	3129	0.635
270	3074	0.632
280	3070	0.629
300	3011	0.624
350	2943	0.612
400	2927	0.6
450	2863	0.59
500	3100	0.58
550	3042	0.576
600	2990	0.572
650	2943	0.568
700	2900	0.564
750	2861	0.561
800	2825	0.558
850	2791	0.555
900	2760	0.552
950	2731	0.549
1000	2703	0.547
1050	2677	0.544
1100	2653	0.542
1150	2629	0.539
1200	2607	0.537
1250	2586	0.535
1300	2566	0.533
1350	2547	0.531
1400	2529	0.528
1450	2512	0.526
1500	2495	0.524
1550	2479	0.522
1600	2463	0.52
1650	2448	0.518
1700	2434	0.517
1750	2420	0.514
1800	2406	0.513
1850	2393	0.511
1900	2381	0.509
1950	2369	0.508
2000	2357	0.506
