0,1,2,3,4
A1,0,4,5,4
A2,0,4,4,4
A3,0,4,3,3
A4,0,4,2,3
B1,5,9,5,3
B2,5,9,4,3
B3,5,9,3,2
B4,5,9,2,2
C1,10,99,5,2
C2,10,99,4,2
C3,10,99,3,1
C4,10,99,2,1
D1,100,5000,5,1
D2,100,5000,4,1
D3,100,5000,3,1
D4,100,5000,2,1
